ParticipantName;LanguagesSpoken;SleepHours;NewLanguageLearning;MemoryTraining;EducationalLevel
o22.05.A;4;2;N;N;6
o03.01.A;4;2;N;Y;7
o01.01.A;3;2;Y;Y;7
o09.01.A;2;2;N;N;6
o08.01.A;2;2;N;N;6
o39.03.A;4;2;Y;N;7
o35.05.A;2;1;N;Y;7
o37.01.A;3;1;N;N;2
o36.06.A;3;3;N;N;3
o38.02.A;2;2;N;Y;3
o34.04.A;2;3;N;N;2
o33.03.A;2;3;N;N;5
 o30.06.A;4;3;Y;Y;5
o32.02.A;4;2;N;N;7
o31.01.A;1;2;N;Y;1
o29.06.A;4;2;N;Y;2
 o26.06.A;1;3;N;Y;6
o28.06.A;4;3;N;Y;3
o27.06.A;4;1;N;Y;6
o25.06.A;2;2;N;Y;3
o23.05.A;4;1;N;Y;5
o24.05.A;3;3;N;N;7
o02.01.A;4;3;Y;Y;5
o21.05.A;3;2;N;Y;6
o20.05.A;3;3;N;Y;6
o19.04.A;1;2;N;Y;2
o16.04.A;3;2;N;N;6
o18.04.A;4;3;N;Y;5
o17.04.A;1;2;N;Y;2
o15.03.A;3;3;N;Y;3
o14.03.A;2;2;N;Y;4
o12.03.A;4;3;N;Y;5
 o13.03.A;3;3;Y;Y;5
o10.02.A;2;1;N;Y;7
o11.03.A;2;1;N;Y;6
o07.02.A;1;3;N;N;6
o06.02.A;3;2;Y;Y;5
o05.02.A;3;3;Y;Y;6
o04.02.A;2;2;N;Y;6
y41.01.A;2;3;N;N;6
y42.06.A;2;1;N;N;5
y40.04.A;1;2;Y;N;4
y39.06.A;3;2;N;N;6
y37.02.A;1;2;Y;N;6
y38.01.A;3;3;Y;N;5
y36.02.A;3;3;N;N;6
y35.05.A;2;3;N;N;6
y34.05.A;2;2;Y;N;6
y33.03.A;2;3;Y;N;6
y32.03.A;2;3;N;N;7
y31.03.A;3;3;N;N;6
y30.06.A;1;1;Y;Y;6
y29.06.A;2;3;Y;N;6
y28.06.A;2;3;N;N;6
y26.06.A;3;2;N;N;6
y27.06.A;2;1;N;N;5
y25.05.A;4;3;Y;Y;6
y22.05.A;3;3;Y;N;6
y24.05.A;4;1;N;N;6
y20.04.A;3;3;N;N;6
y23.05.A;3;3;N;N;4
y21.05.A;3;3;N;N;6
y19.04.A;3;1;Y;N;7
y16.04.A;3;2;Y;Y;6
y14.03.A;2;3;N;N;5
y09.02.A;2;3;Y;N;6
y18.04.A;2;3;Y;N;6
y17.04.A;2;2;N;N;6
y08.02.A;2;3;Y;N;7
y13.03.A;3;2;Y;N;6
y15.03.A;2;2;N;N;6
y12.03.A;2;2;Y;Y;6
y11.03.A;2;2;Y;N;6
y10.02.A;2;3;N;Y;4
y06.02.A;3;3;N;N;6
y07.02.A;3;3;Y;N;6
y05.01.A;3;3;N;N;6
y03.01.A;2;3;N;Y;6
y02.01.A;4;3;Y;Y;6
y01.01.A;3;1;Y;N;6
y04.01.A;3;2;N;N;6
y03.01.A;2;2;Y;Y;6
y02.01.A;4;3;Y;Y;6
y01.01.A;3;3;Y;N;6
